,Type,Created Date and Time,X Coordinate,Y Coordinate,Year
1600 E 55TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 1:19 PM,1188340,1868856,2017
1900 W ESTES AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 1:15 PM,1162245,1947404,2017
1200 N DEARBORN ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 1:15 PM,1175709,1908600,2017
1700 N CALIFORNIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 1:14 PM,1157429,1911593,2017
5200 W FERDINAND ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 1:09 PM,1141356,1902646,2017
8700 S MANISTEE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:33 PM,1196141,1847824,2017
8700 S MANISTEE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:30 PM,1196141,1847817,2017
1400 W SCHOOL ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:24 PM,1166380,1922015,2017
2400 W HOLLYWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:21 PM,1159078,1937775,2017
5000 S ARCHER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:20 PM,1150151,1870860,2017
1100 N MILWAUKEE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:15 PM,1166132,1907785,2017
2800 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:15 PM,1158343,1862738,2017
3400 W MELROSE ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:14 PM,1152872,1921400,2017
3400 W MELROSE ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:13 PM,1153005,1921403,2017
2800 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:12 PM,1158343,1862738,2017
5600 N PULASKI RD,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:12 PM,1148713,1936958,2017
3800 N SHEFFIELD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:12 PM,1168917,1925671,2017
6600 S CAMPBELL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:09 PM,1160852,1860546,2017
100 E GRAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:06 PM,1177514,1903941,2017
6600 S CAMPBELL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:06 PM,1160852,1860546,2017
1500 S WABASH AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:06 PM,1177017,1892793,2017
1500 S WABASH AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:06 PM,1177015,1892834,2017
1300 S WABASH AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 12:03 PM,1176978,1894256,2017
6600 S CAMPBELL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:57 AM,1160852,1860546,2017
5300 W IRVING PARK RD,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:48 AM,1140086,1926079,2017
5300 W IRVING PARK RD,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:45 AM,1140106,1926080,2017
5400 W IRVING PARK RD,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:39 AM,1139537,1926067,2017
900 W FOSTER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:33 AM,1169038,1934729,2017
9200 S CLYDE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:33 AM,1191788,1844112,2017
10600 S AVENUE J ,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:24 AM,1202509,1834978,2017
4100 N PAULINA ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:24 AM,1164483,1927668,2017
4100 N PAULINA ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:21 AM,1164482,1927674,2017
400 N ASHLAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:06 AM,1165646,1903310,2017
7100 S DR MARTIN LUTHER KING JR DR,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:03 AM,1180147,1857946,2017
0 S WESTERN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 11:00 AM,1160415,1899878,2017
4600 W ARMITAGE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:57 AM,1145340,1912895,2017
5400 W LAWRENCE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:49 AM,1139336,1931334,2017
3900 N BROADWAY ,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:48 AM,1170220,1926128,2017
1000 W MONTANA ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:45 AM,1169032,1916476,2017
1000 W MONTANA ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:45 AM,1169046,1916477,2017
5100 S CENTRAL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:44 AM,1139886,1870248,2017
700 W SHERIDAN RD,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:42 AM,1170534,1926140,2017
600 N WELLS ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:42 AM,1174634,1904163,2017
7200 N RIDGE BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:42 AM,1160887,1948028,2017
2200 N JANSSEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:24 AM,1166369,1914981,2017
3000 W EASTWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:20 AM,1155353,1930689,2017
800 W CORNELIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:14 AM,1169924,1923452,2017
2800 W ROSEMONT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:12 AM,1156482,1941685,2017
6200 N CALIFORNIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:12 AM,1156540,1941211,2017
6200 N CALIFORNIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:09 AM,1156542,1941158,2017
2200 N JANSSEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 10:09 AM,1166360,1915013,2017
2500 W CARMEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:51 AM,1158203,1933773,2017
4600 N MALDEN ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:51 AM,1166708,1930683,2017
3800 N WHIPPLE ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:48 AM,1155369,1925384,2017
3800 N WHIPPLE ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:45 AM,1155367,1925451,2017
3800 N WHIPPLE ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:42 AM,1155366,1925505,2017
300 N GREEN ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:42 AM,1170662,1902655,2017
300 N GREEN ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:39 AM,1170662,1902648,2017
200 W ALEXANDER ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:33 AM,1175330,1889239,2017
4100 N KEDVALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:29 AM,1148107,1927170,2017
4100 W BELLE PLAINE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:29 AM,1148006,1926925,2017
200 W 31ST ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:24 AM,1175293,1884420,2017
800 N DEARBORN ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:21 AM,1175790,1905913,2017
0 N LA SALLE ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:21 AM,1175128,1900594,2017
800 N DEARBORN ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:18 AM,1175787,1905996,2017
1000 N DEARBORN ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:18 AM,1175749,1907300,2017
900 N DEARBORN ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:18 AM,1175767,1906758,2017
1000 N DEARBORN ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:18 AM,1175750,1907243,2017
2300 S CENTRAL PARK AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:05 AM,1152742,1888101,2017
2300 S CENTRAL PARK AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:00 AM,1152742,1888101,2017
1600 W ALTGELD ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:00 AM,1165236,1916677,2017
2400 N ASHLAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:00 AM,1165258,1916336,2017
0 E SUPERIOR ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:59 AM,1176602,1905375,2017
6000 S ARTESIAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:57 AM,1161067,1864775,2017
6000 W WABANSIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:57 AM,1135787,1910674,2017
2400 N ASHLAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:57 AM,1165259,1916315,2017
0 W CONGRESS PKWY,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:54 AM,1176016,1898055,2017
2400 N ASHLAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:54 AM,1165260,1916272,2017
2400 N ASHLAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:48 AM,1165261,1916251,2017
6000 S ARTESIAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:47 AM,1161067,1864775,2017
3700 N JANSSEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:42 AM,1165972,1925029,2017
3700 N JANSSEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:42 AM,1165974,1924935,2017
5000 W HUTCHINSON ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:42 AM,1142221,1927791,2017
6000 S ARTESIAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:40 AM,1161067,1864775,2017
700 W JACKSON BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:39 AM,1171282,1898865,2017
